"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.04512984
20 0.04987082
30 0.05047604
40 0.05214271
50 0.05346366
60 0.05390758
70 0.05264701
80 0.05134902
90 0.05082326
100 0.05058943
110 0.05050293
120 0.05046234
130 0.05039797
140 0.05031198
150 0.05019229
160 0.05003782
170 0.04988394
180 0.04973712
190 0.049607
200 0.04949494
210 0.0494027
220 0.04932428
230 0.04925679
240 0.04919786
250 0.04914631
260 0.04910226
270 0.04906168
280 0.04902619
290 0.04899538
300 0.04896864
310 0.04894574
