"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
10 29.73714
20 27.85534
30 24.58687
40 21.05231
50 18.22166
60 16.70794
70 16.53424
80 17.07198
90 17.93961
100 16.72861
110 9.607327
120 9.317743
130 13.31245
140 12.73891
150 12.98305
160 13.00232
170 13.10037
180 13.16726
190 13.11431
200 12.92243
210 12.55998
220 12.21987
230 11.98096
240 11.80885
250 11.6089
260 11.36313
270 11.14372
280 10.9649
290 10.79563
300 10.61967
310 10.46247
320 10.31955
330 10.18755
340 10.06028
350 9.938315
360 9.813021
370 9.691788
380 9.5684
390 9.445187
400 9.315907
410 9.191774
420 9.071964
430 8.951766
440 8.831242
450 8.708754
460 8.585666
470 8.463662
480 8.342709
490 8.22243
500 8.105688
510 7.997697
520 7.886374
530 7.783965
540 7.679796
550 7.58837
560 7.483871
570 7.391235
580 7.305933
590 7.215147
600 7.137427
610 7.056026
620 6.977301
630 6.894793
640 6.814878
650 6.746103
660 6.678395
670 6.612744
680 6.547777
690 6.490613
700 6.43802
710 6.383108
720 6.324249
730 6.279739
740 6.228466
750 6.177056
760 6.132914
770 6.093613
780 6.060921
790 6.016416
800 5.988075
810 5.950476
820 5.920851
830 5.890685
840 5.857578
850 5.828813
860 5.799124
870 5.776355
880 5.752975
890 5.728146
900 5.716558
910 5.687129
920 5.664631
930 5.654567
940 5.635643
950 5.611558
960 5.595401
970 5.58479
980 5.558838
990 5.546632
1000 5.537987
1010 5.515485
1020 5.500576
1030 5.495201
1040 5.471412
1050 5.459702
1060 5.454299
1070 5.435348
1080 5.412229
1090 5.406263
1100 5.398671
1110 5.372625
1120 5.36692
1130 5.360795
1140 5.339261
1150 5.32778
1160 5.328628
1170 5.308284
1180 5.296132
1190 5.299102
1200 5.287672
1210 5.258854
1220 5.265064
1230 5.269295
1240 5.241824
1250 5.249074
1260 5.246989
1270 5.22465
1280 5.230618
1290 5.231508
1300 5.214813
1310 5.203095
1320 5.211604
1330 5.210844
1340 5.187716
1350 5.194281
1360 5.199086
1370 5.180731
1380 5.186127
1390 5.189865
1400 5.178964
1410 5.166443
1420 5.173398
1430 5.177109
1440 5.155697
1450 5.166039
1460 5.168513
1470 5.15243
1480 5.15583
1490 5.162885
1500 5.155338
1510 5.139993
1520 5.148404
1530 5.153467
1540 5.134683
1550 5.143121
1560 5.14875
1570 5.136667
1580 5.132224
1590 5.145984
1600 5.140659
1610 5.122965
1620 5.131749
1630 5.137982
1640 5.122071
1650 5.130426
1660 5.136122
1670 5.12542
1680 5.118118
1690 5.128031
1700 5.131823
1710 5.112642
1720 5.121436
1730 5.12862
1740 5.114015
1750 5.121325
1760 5.128208
1770 5.120864
1780 5.109907
1790 5.119117
1800 5.126154
1810 5.106702
1820 5.116983
1830 5.122774
1840 5.110186
1850 5.112474
1860 5.123141
1870 5.117397
1880 5.1024
1890 5.112741
1900 5.118089
1910 5.104238
1920 5.111633
1930 5.118553
1940 5.108151
1950 5.103724
1960 5.114441
1970 5.116136
1980 5.09846
1990 5.107847
2000 5.115581
2010 5.100704
2020 5.109904
2030 5.117568
2040 5.108196
2050 5.098764
2060 5.109807
2070 5.115757
2080 5.096587
2090 5.106513
2100 5.113283
2110 5.100111
2120 5.106463
2130 5.114841
2140 5.108379
2150 5.097656
2160 5.107795
2170 5.113243
2180 5.09556
2190 5.106936
2200 5.113061
2210 5.101207
2220 5.099115
2230 5.114175
2240 5.109769
2250 5.094384
2260 5.105108
2270 5.110441
2280 5.096771
2290 5.104801
2300 5.112425
2310 5.101795
2320 5.097714
2330 5.108486
2340 5.110706
2350 5.093344
2360 5.103144
2370 5.111013
