"lift-coef-rfile"
"Iteration" "lift-coef"
("Iteration" "lift-coef")
10 0.7096503
20 0.90892
30 0.9930529
40 1.027966
50 1.031392
60 1.032772
70 1.044194
80 1.062863
90 1.08602
100 1.068566
110 0.9087298
120 0.8700155
130 0.9475446
140 0.9330987
150 0.9341756
160 0.9356995
170 0.9435861
180 0.9538097
190 0.9638202
200 0.9701206
210 0.9718478
220 0.9724789
230 0.9741946
240 0.9769148
250 0.9783394
260 0.9780743
270 0.97796
280 0.9786608
290 0.9794385
300 0.9802474
310 0.9815172
320 0.9833337
330 0.9856231
340 0.9884661
350 0.991612
360 0.9951755
370 0.9989277
380 1.003057
390 1.00725
400 1.011571
410 1.016085
420 1.020738
430 1.02556
440 1.030313
450 1.035179
460 1.039857
470 1.044655
480 1.049254
490 1.053882
500 1.058493
510 1.062817
520 1.067214
530 1.07174
540 1.076422
550 1.080531
560 1.085198
570 1.089469
580 1.093455
590 1.097788
600 1.101501
610 1.105437
620 1.109275
630 1.113007
640 1.116642
650 1.120228
660 1.12391
670 1.127461
680 1.13098
690 1.134499
700 1.137812
710 1.141229
720 1.144534
730 1.147878
740 1.15105
750 1.15428
760 1.157546
770 1.160804
780 1.163612
790 1.166744
800 1.169747
810 1.172599
820 1.175625
830 1.178557
840 1.18159
850 1.184484
860 1.187096
870 1.189903
880 1.192422
890 1.195092
900 1.19766
910 1.200174
920 1.20272
930 1.205169
940 1.207588
950 1.209788
960 1.212152
970 1.214227
980 1.216483
990 1.218525
1000 1.220597
1010 1.222408
1020 1.224319
1030 1.226059
1040 1.227721
1050 1.229367
1060 1.230942
1070 1.232414
1080 1.23389
1090 1.235127
1100 1.236399
1110 1.237672
1120 1.238708
1130 1.239766
1140 1.240816
1150 1.241758
1160 1.242658
1170 1.243505
1180 1.244345
1190 1.245108
1200 1.245788
1210 1.246607
1220 1.24724
1230 1.247751
1240 1.248382
1250 1.248989
1260 1.249434
1270 1.250023
1280 1.250558
1290 1.250957
1300 1.251397
1310 1.251939
1320 1.252293
1330 1.252601
1340 1.253099
1350 1.253467
1360 1.253695
1370 1.254112
1380 1.254504
1390 1.254706
1400 1.255003
1410 1.255407
1420 1.255622
1430 1.255792
1440 1.256149
1450 1.256417
1460 1.256525
1470 1.256809
1480 1.257104
1490 1.257206
1500 1.257382
1510 1.257682
1520 1.257838
1530 1.257917
1540 1.258177
1550 1.258374
1560 1.258403
1570 1.258593
1580 1.258824
1590 1.258882
1600 1.25896
1610 1.259203
1620 1.259303
1630 1.259303
1640 1.259498
1650 1.259656
1660 1.25965
1670 1.259762
1680 1.259955
1690 1.259982
1700 1.259991
1710 1.26018
1720 1.260269
1730 1.260223
1740 1.260368
1750 1.260509
1760 1.260466
1770 1.260517
1780 1.260685
1790 1.260702
1800 1.260665
1810 1.260823
1820 1.260905
1830 1.260827
1840 1.260925
1850 1.261064
1860 1.260998
1870 1.261014
1880 1.261167
1890 1.26118
1900 1.261109
1910 1.261239
1920 1.261314
1930 1.261226
1940 1.261292
1950 1.261419
1960 1.261371
1970 1.261342
1980 1.261486
1990 1.261494
2000 1.261403
2010 1.261512
2020 1.261597
2030 1.261501
2040 1.261529
2050 1.261655
2060 1.261609
2070 1.261554
2080 1.261676
2090 1.261705
2100 1.261607
2110 1.261687
2120 1.261778
2130 1.261682
2140 1.261679
2150 1.261801
2160 1.261774
2170 1.261696
2180 1.26181
2190 1.261851
2200 1.261735
2210 1.261796
2220 1.261894
2230 1.261807
2240 1.261784
2250 1.261904
2260 1.261889
2270 1.261785
2280 1.261888
2290 1.261938
2300 1.261825
2310 1.261864
2320 1.261967
2330 1.261898
2340 1.26185
2350 1.26197
2360 1.261962
2370 1.261851
