"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
10 138.9586
20 177.9781
30 194.4524
40 201.2889
50 201.9598
60 202.23
70 204.4665
80 208.1222
90 212.6566
100 209.2388
110 177.9409
120 170.3601
130 185.5413
140 182.7126
150 182.9235
160 183.2219
170 184.7662
180 186.7681
190 188.7283
200 189.962
210 190.3002
220 190.4237
230 190.7597
240 191.2924
250 191.5713
260 191.5194
270 191.497
280 191.6342
290 191.7865
300 191.9449
310 192.1936
320 192.5493
330 192.9976
340 193.5542
350 194.1703
360 194.868
370 195.6028
380 196.4113
390 197.2324
400 198.0784
410 198.9623
420 199.8736
430 200.8177
440 201.7483
450 202.7012
460 203.6172
470 204.5567
480 205.4573
490 206.3635
500 207.2664
510 208.1131
520 208.974
530 209.8603
540 210.7771
550 211.5816
560 212.4957
570 213.332
580 214.1124
590 214.961
600 215.6879
610 216.4586
620 217.2102
630 217.941
640 218.6528
650 219.355
660 220.0758
670 220.7712
680 221.4603
690 222.1493
700 222.7982
710 223.4672
720 224.1143
730 224.7691
740 225.3903
750 226.0227
760 226.6622
770 227.3001
780 227.85
790 228.4634
800 229.0514
810 229.6099
820 230.2023
830 230.7764
840 231.3704
850 231.9371
860 232.4485
870 232.9982
880 233.4915
890 234.0142
900 234.5171
910 235.0093
920 235.5078
930 235.9875
940 236.4612
950 236.892
960 237.3548
970 237.761
980 238.2029
990 238.6027
1000 239.0085
1010 239.3631
1020 239.7372
1030 240.078
1040 240.4035
1050 240.7258
1060 241.0342
1070 241.3223
1080 241.6115
1090 241.8535
1100 242.1026
1110 242.3519
1120 242.5548
1130 242.7619
1140 242.9676
1150 243.152
1160 243.3284
1170 243.4941
1180 243.6587
1190 243.808
1200 243.9412
1210 244.1015
1220 244.2255
1230 244.3254
1240 244.449
1250 244.5679
1260 244.6552
1270 244.7704
1280 244.8753
1290 244.9533
1300 245.0395
1310 245.1456
1320 245.2149
1330 245.2752
1340 245.3727
1350 245.4449
1360 245.4894
1370 245.5711
1380 245.6479
1390 245.6874
1400 245.7456
1410 245.8247
1420 245.8669
1430 245.9001
1440 245.97
1450 246.0225
1460 246.0436
1470 246.0991
1480 246.1569
1490 246.177
1500 246.2115
1510 246.2702
1520 246.3008
1530 246.3162
1540 246.3672
1550 246.4056
1560 246.4113
1570 246.4485
1580 246.4937
1590 246.5051
1600 246.5203
1610 246.568
1620 246.5876
1630 246.5875
1640 246.6258
1650 246.6566
1660 246.6556
1670 246.6774
1680 246.7153
1690 246.7206
1700 246.7224
1710 246.7592
1720 246.7768
1730 246.7678
1740 246.7962
1750 246.8237
1760 246.8152
1770 246.8253
1780 246.8582
1790 246.8615
1800 246.8543
1810 246.8852
1820 246.9012
1830 246.8859
1840 246.9052
1850 246.9323
1860 246.9195
1870 246.9227
1880 246.9526
1890 246.9552
1900 246.9411
1910 246.9667
1920 246.9814
1930 246.964
1940 246.977
1950 247.0019
1960 246.9924
1970 246.9868
1980 247.0151
1990 247.0167
2000 246.9988
2010 247.02
2020 247.0367
2030 247.0179
2040 247.0234
2050 247.048
2060 247.0392
2070 247.0282
2080 247.0522
2090 247.0579
2100 247.0387
2110 247.0544
2120 247.0722
2130 247.0534
2140 247.0529
2150 247.0767
2160 247.0715
2170 247.056
2180 247.0784
2190 247.0865
2200 247.0637
2210 247.0758
2220 247.0949
2230 247.0779
2240 247.0733
2250 247.0969
2260 247.094
2270 247.0736
2280 247.0937
2290 247.1035
2300 247.0813
2310 247.0891
2320 247.1092
2330 247.0957
2340 247.0862
2350 247.1098
2360 247.1082
2370 247.0866
