"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
10 12.69199
20 16.78607
30 15.07922
40 13.13438
50 11.54705
60 11.52157
70 13.07483
80 15.39348
90 17.79758
100 15.7505
110 2.653978
120 4.204322
130 10.66652
140 8.809422
150 9.066324
160 8.800915
170 9.169639
180 9.440628
190 9.6599
200 9.656553
210 9.414275
220 9.231424
230 9.192098
240 9.226809
250 9.155579
260 8.982244
270 8.846629
280 8.756458
290 8.646405
300 8.512874
310 8.399031
320 8.297188
330 8.204501
340 8.117357
350 8.036152
360 7.954088
370 7.879155
380 7.804543
390 7.731584
400 7.650998
410 7.582362
420 7.51825
430 7.455505
440 7.39103
450 7.325068
460 7.254992
470 7.187129
480 7.119548
490 7.052886
500 6.986204
510 6.925452
520 6.866611
530 6.816917
540 6.7658
550 6.719328
560 6.671479
570 6.630279
580 6.592721
590 6.553667
600 6.523253
610 6.492065
620 6.457249
630 6.420236
640 6.388618
650 6.362976
660 6.344516
670 6.32653
680 6.309751
690 6.301523
700 6.293212
710 6.287687
720 6.284548
730 6.285141
740 6.284578
750 6.289935
760 6.30009
770 6.314384
780 6.327104
790 6.346471
800 6.36769
810 6.389347
820 6.416029
830 6.444837
840 6.476829
850 6.51005
860 6.54139
870 6.579225
880 6.614525
890 6.656537
900 6.697
910 6.737309
920 6.782408
930 6.825377
940 6.871388
950 6.910047
960 6.955815
970 6.998814
980 7.043267
990 7.083447
1000 7.131218
1010 7.166915
1020 7.206858
1030 7.246752
1040 7.281181
1050 7.314843
1060 7.350126
1070 7.381624
1080 7.410783
1090 7.436213
1100 7.465317
1110 7.490274
1120 7.509782
1130 7.534231
1140 7.553735
1150 7.569623
1160 7.591003
1170 7.606955
1180 7.620048
1190 7.637715
1200 7.652395
1210 7.664822
1220 7.676974
1230 7.69141
1240 7.699155
1250 7.709692
1260 7.723761
1270 7.730801
1280 7.738462
1290 7.75102
1300 7.758491
1310 7.764137
1320 7.774467
1330 7.783242
1340 7.788033
1350 7.79514
1360 7.80506
1370 7.80956
1380 7.813982
1390 7.822887
1400 7.829071
1410 7.831663
1420 7.838498
1430 7.845329
1440 7.847598
1450 7.851849
1460 7.859574
1470 7.862402
1480 7.864388
1490 7.871232
1500 7.875631
1510 7.876994
1520 7.881512
1530 7.887032
1540 7.888195
1550 7.890059
1560 7.89643
1570 7.898713
1580 7.89909
1590 7.903613
1600 7.907875
1610 7.907604
1620 7.909943
1630 7.915235
1640 7.915435
1650 7.91586
1660 7.92081
1670 7.92267
1680 7.921775
1690 7.925313
1700 7.92887
1710 7.927949
1720 7.929232
1730 7.933738
1740 7.933223
1750 7.932662
1760 7.937036
1770 7.938423
1780 7.937167
1790 7.939387
1800 7.942651
1810 7.941277
1820 7.941342
1830 7.945461
1840 7.945254
1850 7.943807
1860 7.946876
1870 7.948726
1880 7.947041
1890 7.948209
1900 7.951621
1910 7.950131
1920 7.949383
1930 7.953155
1940 7.953161
1950 7.9514
1960 7.953494
1970 7.955733
1980 7.953501
1990 7.953821
2000 7.957519
2010 7.956297
2020 7.954719
2030 7.958037
2040 7.958297
2050 7.956132
2060 7.95787
2070 7.960317
2080 7.958098
2090 7.958239
2100 7.961055
2110 7.960143
2120 7.957884
2130 7.961105
2140 7.961932
2150 7.959389
2160 7.960712
2170 7.963264
2180 7.961011
2190 7.960361
2200 7.963745
2210 7.963027
2220 7.960834
2230 7.963076
2240 7.964359
2250 7.96185
2260 7.96259
2270 7.965235
2280 7.963096
2290 7.961819
2300 7.965217
2310 7.964694
2320 7.962218
2330 7.964006
2340 7.966065
2350 7.963257
2360 7.96343
2370 7.966607
