"drag-coef-rfile"
"Iteration" "drag-coef"
("Iteration" "drag-coef")
10 0.06810563
20 0.04348758
30 0.03339032
40 0.02702351
50 0.02273719
60 0.02022368
70 0.01869087
80 0.01771739
90 0.0169914
100 0.01644989
110 0.01589015
120 0.01528082
130 0.01467517
140 0.01410983
150 0.0136247
160 0.01323263
170 0.01293906
180 0.01271819
190 0.01256322
200 0.012452
210 0.01236928
220 0.01230463
230 0.01224988
240 0.0122043
250 0.01216641
260 0.01213368
270 0.01210648
280 0.01208556
290 0.01206727
300 0.01205301
