"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.05245217
20 0.06184816
30 0.05854757
40 0.05466714
50 0.05034334
60 0.048024
70 0.04683432
80 0.04677531
90 0.0472706
100 0.04813393
110 0.0487964
120 0.04912722
130 0.04915888
140 0.04896665
150 0.04867112
160 0.04836567
170 0.04813115
180 0.04796124
190 0.04786431
200 0.04781687
210 0.04779144
220 0.04777659
230 0.04776552
240 0.04775678
250 0.04775044
260 0.04774823
270 0.04775195
280 0.04776246
290 0.04778038
300 0.04780371
