"drag-coef-rfile"
"Iteration" "drag-coef"
("Iteration" "drag-coef")
10 0.0984133
20 0.08110647
30 0.06852945
40 0.05651364
50 0.04637414
60 0.03935404
70 0.03448575
80 0.03054985
90 0.02772696
100 0.0264998
110 0.02583903
120 0.02520911
130 0.02451382
140 0.02371793
150 0.02284876
160 0.02199441
170 0.02123853
180 0.02060793
190 0.02010661
200 0.01972032
210 0.01942753
220 0.01921935
230 0.01905365
240 0.01891234
250 0.01878278
260 0.01866126
270 0.01855449
280 0.01844923
290 0.01835135
300 0.0182585
310 0.0181691
320 0.01808197
330 0.01800589
340 0.01793152
350 0.01786138
360 0.01779668
370 0.01773074
380 0.01767035
390 0.01761138
400 0.01755025
410 0.0174957
420 0.01743849
430 0.01738513
440 0.0173327
450 0.01728097
460 0.01723212
470 0.01718529
480 0.01714035
490 0.01709709
500 0.01705487
510 0.01701431
520 0.01697423
530 0.01693567
540 0.01690023
550 0.01686339
560 0.01682885
570 0.01679584
580 0.01676298
590 0.01673465
600 0.01670523
610 0.01667561
620 0.01664967
630 0.0166261
640 0.0166027
650 0.01657984
660 0.01655925
