"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
10 19.27059
20 15.88169
30 13.41895
40 11.0661
50 9.080652
60 7.706026
70 6.752752
80 5.982053
90 5.429295
100 5.189002
110 5.059613
120 4.936267
130 4.800121
140 4.644276
150 4.474081
160 4.306787
170 4.158777
180 4.035298
190 3.937133
200 3.861491
210 3.804161
220 3.763396
230 3.73095
240 3.703279
250 3.677908
260 3.654115
270 3.633208
280 3.612596
290 3.593431
300 3.57525
310 3.557743
320 3.540681
330 3.525784
340 3.511221
350 3.497488
360 3.484819
370 3.471907
380 3.460081
390 3.448535
400 3.436564
410 3.425882
420 3.41468
430 3.404231
440 3.393964
450 3.383836
460 3.37427
470 3.365101
480 3.356301
490 3.34783
500 3.339562
510 3.331621
520 3.323771
530 3.316221
540 3.309282
550 3.302069
560 3.295305
570 3.288841
580 3.282406
590 3.27686
600 3.271098
610 3.265298
620 3.26022
630 3.255604
640 3.251022
650 3.246545
660 3.242515
