"lift-coef-rfile"
"Iteration" "lift-coef"
("Iteration" "lift-coef")
10 0.5153865
20 0.6663154
30 0.7350851
40 0.7688327
50 0.7814173
60 0.7889274
70 0.7951708
80 0.7990454
90 0.8027347
100 0.8126665
110 0.8243833
120 0.8349742
130 0.8438582
140 0.8504174
150 0.8552743
160 0.8587124
170 0.8611402
180 0.8630579
190 0.864759
200 0.8664097
210 0.8682473
220 0.8700995
230 0.8721537
240 0.8742874
250 0.876442
260 0.8786971
270 0.8809112
280 0.8830837
290 0.8852864
300 0.8875195
310 0.8896159
320 0.8918589
330 0.8939574
340 0.8961763
350 0.8982712
360 0.9003599
370 0.9024088
380 0.9044053
390 0.9063746
400 0.9082599
410 0.9101232
420 0.911849
430 0.9136069
440 0.9151717
450 0.9167646
460 0.9182779
470 0.9197211
480 0.9210998
490 0.9224139
500 0.9237075
510 0.9248555
520 0.9259923
530 0.9270682
540 0.9280119
550 0.9289513
560 0.9298362
570 0.9306563
580 0.931459
590 0.9321296
600 0.932791
610 0.933408
620 0.933978
630 0.9345179
640 0.9350052
650 0.9354709
660 0.9358933
