"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
10 100.9193
20 130.4731
30 143.9391
40 150.5473
50 153.0115
60 154.4821
70 155.7047
80 156.4633
90 157.1858
100 159.1305
110 161.4248
120 163.4987
130 165.2383
140 166.5226
150 167.4737
160 168.1469
170 168.6223
180 168.9978
190 169.3309
200 169.6541
210 170.014
220 170.3766
230 170.7789
240 171.1967
250 171.6186
260 172.0602
270 172.4937
280 172.9191
290 173.3504
300 173.7877
310 174.1982
320 174.6374
330 175.0483
340 175.4828
350 175.893
360 176.302
370 176.7032
380 177.0942
390 177.4798
400 177.849
410 178.2138
420 178.5517
430 178.896
440 179.2024
450 179.5143
460 179.8106
470 180.0932
480 180.3632
490 180.6205
500 180.8738
510 181.0986
520 181.3212
530 181.5319
540 181.7166
550 181.9006
560 182.0739
570 182.2344
580 182.3916
590 182.5229
600 182.6525
610 182.7733
620 182.8849
630 182.9906
640 183.086
650 183.1772
660 183.2599
