"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
10 10.89731
20 14.34846
30 13.04827
40 11.3948
50 9.698709
60 8.670506
70 8.032427
80 7.403565
90 7.025373
100 7.213581
110 7.496592
120 7.707821
130 7.840563
140 7.884995
150 7.867481
160 7.811482
170 7.747415
180 7.69031
190 7.645693
200 7.617097
210 7.606402
220 7.610763
230 7.624608
240 7.643973
250 7.665697
260 7.691816
270 7.720227
280 7.750432
290 7.78258
300 7.816899
310 7.851026
320 7.889174
330 7.92744
340 7.969222
350 8.010663
360 8.053225
370 8.096355
380 8.139449
390 8.182857
400 8.225521
410 8.267743
420 8.306988
430 8.348382
440 8.385397
450 8.423628
460 8.460417
470 8.495893
480 8.530112
490 8.563053
500 8.59562
510 8.624624
520 8.653263
530 8.680638
540 8.70445
550 8.72801
560 8.750429
570 8.770987
580 8.790663
590 8.807278
600 8.823396
610 8.838533
620 8.852377
630 8.865388
640 8.877019
650 8.888128
660 8.898083
