"drag-coef-rfile"
"Iteration" "drag-coef"
("Iteration" "drag-coef")
10 0.1862037
20 0.1858176
30 0.1676353
40 0.1483279
50 0.1398465
60 0.1500853
70 0.1654613
80 0.1823565
90 0.1988291
100 0.2149053
110 0.2146829
120 0.1766878
130 0.13833
140 0.1589199
150 0.1975805
160 0.1685039
170 0.1391542
180 0.163163
190 0.1815215
200 0.1339108
210 0.05596947
220 0.08699185
230 0.09524021
240 0.09914933
250 0.1121585
260 0.127205
270 0.1384836
280 0.1494698
290 0.1583231
300 0.1677314
310 0.1800699
320 0.1958051
330 0.2144109
340 0.2327926
350 0.2492432
360 0.2629132
370 0.2678593
380 0.2647878
390 0.2474768
400 0.2367025
410 0.2321128
420 0.1962906
430 0.1519335
440 0.1354875
450 0.07362313
460 0.05804873
470 0.06594322
480 0.0853228
490 0.1090224
500 0.1349317
510 0.1630884
520 0.1937644
530 0.2202841
540 0.2459898
550 0.2674253
560 0.2798504
570 0.2730176
580 0.2357856
590 0.1696831
600 0.1271948
610 0.1560312
620 0.1546354
630 0.1148398
640 0.1267268
650 0.1242402
660 0.11488
670 0.088179
680 0.09228415
690 0.1055089
700 0.1204041
710 0.1325388
720 0.1227856
730 0.1086437
740 0.1301358
750 0.1521715
760 0.1718359
770 0.1923512
780 0.2015042
790 0.184924
800 0.1436801
810 0.1193459
820 0.1407205
830 0.1390614
840 0.1214028
850 0.1121538
860 0.1126623
870 0.1082312
880 0.1076008
890 0.1168839
900 0.1215896
910 0.1224188
920 0.1250049
930 0.122457
940 0.1170032
950 0.1204195
960 0.1234321
970 0.1220318
980 0.1180299
990 0.1145771
1000 0.1128687
1010 0.1122302
1020 0.1109884
1030 0.1093672
1040 0.1076582
1050 0.1056512
1060 0.1039269
1070 0.1029728
1080 0.1026589
1090 0.1025279
1100 0.1017191
1110 0.1002823
1120 0.09915193
1130 0.09836923
1140 0.0974512
1150 0.0962137
1160 0.09482408
1170 0.09346013
1180 0.09219928
1190 0.09097341
1200 0.08979685
1210 0.08875088
1220 0.08775236
1230 0.08673095
1240 0.08571952
1250 0.08475038
1260 0.08380054
1270 0.08287772
1280 0.08193164
1290 0.0810141
1300 0.08010723
1310 0.07922665
1320 0.07835881
1330 0.07746514
1340 0.07661867
1350 0.07576972
1360 0.07490819
1370 0.07402502
1380 0.07316878
1390 0.07233264
1400 0.07152738
1410 0.07071918
1420 0.06993952
1430 0.06922273
1440 0.0685412
1450 0.06780764
1460 0.06711238
1470 0.06634741
1480 0.06559534
1490 0.06491059
1500 0.06412244
1510 0.06343091
1520 0.06275177
1530 0.06200253
1540 0.06136521
1550 0.06077925
1560 0.06020436
1570 0.05962131
1580 0.05907791
1590 0.0585848
1600 0.05801852
1610 0.05752577
1620 0.05699006
1630 0.05646913
1640 0.05598085
1650 0.05545456
1660 0.05495199
1670 0.05448022
1680 0.0539791
1690 0.05351144
1700 0.05305135
1710 0.05261244
1720 0.05216656
1730 0.05175915
1740 0.05137099
1750 0.05092939
1760 0.05056028
1770 0.05012171
1780 0.04973483
1790 0.04934664
1800 0.04892883
1810 0.04853521
1820 0.04813248
1830 0.04778013
1840 0.04740499
1850 0.04704862
1860 0.04672408
1870 0.04644186
1880 0.04612919
1890 0.04582647
1900 0.04556648
1910 0.04532436
1920 0.04504095
1930 0.04482466
1940 0.04458357
1950 0.0443472
1960 0.04410047
1970 0.0438989
1980 0.04364908
1990 0.04345254
2000 0.04326419
2010 0.04304033
2020 0.04287262
2030 0.04271877
2040 0.04252673
2050 0.04234986
2060 0.04222076
2070 0.04207753
2080 0.04193033
2090 0.04182263
2100 0.04166584
2110 0.04152281
2120 0.04138865
2130 0.04123584
2140 0.0410891
2150 0.04099081
2160 0.04089991
2170 0.04071053
2180 0.04066098
2190 0.0406135
2200 0.04045114
2210 0.040402
2220 0.04030754
2230 0.04020456
2240 0.04010331
2250 0.04004894
2260 0.03993944
2270 0.03988823
2280 0.03981721
2290 0.03973414
2300 0.03966142
2310 0.03958376
2320 0.03955026
2330 0.03941648
2340 0.03936766
2350 0.03938477
2360 0.03924677
2370 0.03923294
2380 0.0391944
2390 0.03911134
2400 0.03908918
2410 0.03904519
2420 0.03898868
2430 0.03895036
2440 0.03892383
2450 0.03888872
2460 0.03879524
2470 0.03879382
2480 0.03875852
2490 0.03869251
2500 0.03869883
2510 0.03862659
2520 0.03861199
2530 0.03860296
2540 0.03856113
2550 0.03855345
2560 0.03845571
2570 0.0384767
2580 0.03844061
2590 0.03841831
2600 0.03842631
2610 0.03835006
2620 0.03836246
2630 0.0382879
2640 0.03828401
2650 0.03832135
2660 0.0382479
2670 0.03827238
2680 0.03823601
2690 0.03821041
2700 0.03822665
2710 0.03816663
2720 0.03821107
2730 0.03812471
2740 0.03815647
2750 0.03812648
2760 0.03812765
2770 0.03813145
2780 0.03809116
2790 0.0380821
2800 0.03802969
2810 0.03807559
2820 0.03805857
2830 0.03804395
2840 0.03804669
2850 0.03800669
2860 0.03802971
2870 0.03796408
2880 0.03798823
2890 0.0380464
2900 0.03796341
2910 0.03799929
2920 0.03794935
2930 0.03797711
2940 0.03795362
2950 0.03791974
2960 0.03797805
2970 0.03792122
2980 0.0379623
2990 0.03791473
3000 0.03791703
3010 0.03791183
3020 0.03790996
3030 0.03793643
3040 0.03787059
3050 0.03791967
3060 0.03789418
3070 0.03788402
3080 0.03789753
3090 0.03788523
3100 0.03790916
3110 0.0378414
3120 0.0378947
3130 0.03787535
3140 0.0378551
3150 0.03787338
3160 0.03786584
3170 0.03789507
3180 0.03782035
3190 0.03786923
3200 0.03785949
3210 0.03785202
3220 0.03786252
3230 0.03781914
3240 0.03787727
3250 0.03780932
3260 0.03784287
3270 0.0378452
3280 0.03784119
3290 0.03785666
3300 0.0378071
3310 0.03785392
3320 0.03780705
3330 0.03782768
3340 0.03783466
3350 0.03782674
