"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
10 36.46106
20 36.38546
30 32.82513
40 29.0445
50 27.38372
60 29.38862
70 32.39943
80 35.70773
90 38.93328
100 42.08119
110 42.03765
120 34.59773
130 27.08678
140 31.11853
150 38.68879
160 32.9952
170 27.24816
180 31.94939
190 35.54423
200 26.22144
210 10.95953
220 17.03411
230 18.64925
240 19.4147
250 21.96206
260 24.90837
270 27.11684
280 29.26808
290 31.00167
300 32.84394
310 35.25998
320 38.34114
330 41.98438
340 45.58375
350 48.805
360 51.48175
370 52.45025
380 51.84883
390 48.45911
400 46.34936
410 45.45065
420 38.4362
430 29.75052
440 26.53018
450 14.41635
460 11.36668
470 12.91252
480 16.70729
490 21.34797
500 26.42134
510 31.93479
520 37.94154
530 43.13444
540 48.16794
550 52.36527
560 54.79827
570 53.46033
580 46.16982
590 33.22611
600 24.90635
610 30.5529
620 30.27958
630 22.48709
640 24.81472
650 24.32781
660 22.49496
670 17.26657
680 18.07041
690 20.65998
700 23.57666
710 25.95279
720 24.04299
730 21.27382
740 25.48224
750 29.79712
760 33.64766
770 37.66482
780 39.45709
790 36.21046
800 28.1344
810 23.36946
820 27.55486
830 27.22998
840 23.77221
850 21.96113
860 22.06071
870 21.19305
880 21.0696
890 22.88735
900 23.8088
910 23.97116
920 24.47756
930 23.97863
940 22.91072
950 23.57967
960 24.16958
970 23.89537
980 23.11176
990 22.43566
1000 22.10112
1010 21.97609
1020 21.73295
1030 21.41549
1040 21.08084
1050 20.68785
1060 20.35022
1070 20.16339
1080 20.10193
1090 20.07627
1100 19.9179
1110 19.63655
1120 19.41521
1130 19.26195
1140 19.08219
1150 18.83987
1160 18.56776
1170 18.30068
1180 18.05379
1190 17.81375
1200 17.58337
1210 17.37855
1220 17.18303
1230 16.98302
1240 16.78497
1250 16.5952
1260 16.40921
1270 16.22851
1280 16.04326
1290 15.86359
1300 15.68602
1310 15.51359
1320 15.34365
1330 15.16866
1340 15.00291
1350 14.83668
1360 14.66798
1370 14.49504
1380 14.32738
1390 14.16365
1400 14.00597
1410 13.84772
1420 13.69505
1430 13.55469
1440 13.42124
1450 13.2776
1460 13.14146
1470 12.99167
1480 12.8444
1490 12.71032
1500 12.55599
1510 12.42058
1520 12.2876
1530 12.14088
1540 12.01609
1550 11.90135
1560 11.78878
1570 11.67461
1580 11.56821
1590 11.47165
1600 11.36077
1610 11.26428
1620 11.15938
1630 11.05737
1640 10.96176
1650 10.85871
1660 10.7603
1670 10.66792
1680 10.5698
1690 10.47822
1700 10.38813
1710 10.30219
1720 10.21488
1730 10.1351
1740 10.05909
1750 9.972624
1760 9.900346
1770 9.814468
1780 9.738713
1790 9.6627
1800 9.580887
1810 9.503813
1820 9.424952
1830 9.355957
1840 9.2825
1850 9.21272
1860 9.149169
1870 9.093906
1880 9.032682
1890 8.973407
1900 8.922498
1910 8.875086
1920 8.819591
1930 8.777239
1940 8.73003
1950 8.683746
1960 8.635433
1970 8.595963
1980 8.547045
1990 8.50856
2000 8.47168
2010 8.427845
2020 8.395004
2030 8.36488
2040 8.327274
2050 8.292643
2060 8.267363
2070 8.239317
2080 8.210493
2090 8.189404
2100 8.158703
2110 8.130695
2120 8.104424
2130 8.074503
2140 8.045769
2150 8.026524
2160 8.008722
2170 7.97164
2180 7.961937
2190 7.952641
2200 7.920847
2210 7.911226
2220 7.892729
2230 7.872564
2240 7.852737
2250 7.842093
2260 7.82065
2270 7.810623
2280 7.796717
2290 7.780451
2300 7.766211
2310 7.751003
2320 7.744444
2330 7.718248
2340 7.708689
2350 7.71204
2360 7.685017
2370 7.682308
2380 7.674763
2390 7.658499
2400 7.65416
2410 7.645546
2420 7.63448
2430 7.626976
2440 7.621782
2450 7.614906
2460 7.596601
2470 7.596325
2480 7.589411
2490 7.576487
2500 7.577723
2510 7.563578
2520 7.560719
2530 7.55895
2540 7.55076
2550 7.549257
2560 7.530117
2570 7.534227
2580 7.527161
2590 7.522795
2600 7.524361
2610 7.50943
2620 7.511858
2630 7.497259
2640 7.496496
2650 7.503809
2660 7.489426
2670 7.494219
2680 7.487099
2690 7.482084
2700 7.485264
2710 7.473513
2720 7.482214
2730 7.465303
2740 7.471523
2750 7.465651
2760 7.465879
2770 7.466623
2780 7.458735
2790 7.456961
2800 7.446697
2810 7.455685
2820 7.452353
2830 7.44949
2840 7.450026
2850 7.442194
2860 7.446701
2870 7.433849
2880 7.43858
2890 7.44997
2900 7.433718
2910 7.440744
2920 7.430965
2930 7.436401
2940 7.431803
2950 7.425169
2960 7.436584
2970 7.425457
2980 7.4335
2990 7.424187
3000 7.424637
3010 7.423618
3020 7.423252
3030 7.428436
3040 7.415543
3050 7.425154
3060 7.420162
3070 7.418173
3080 7.420818
3090 7.418411
3100 7.423096
3110 7.409828
3120 7.420265
3130 7.416475
3140 7.41251
3150 7.41609
3160 7.414614
3170 7.420338
3180 7.405706
3190 7.415277
3200 7.41337
3210 7.411907
3220 7.413963
3230 7.405468
3240 7.416851
3250 7.403545
3260 7.410116
3270 7.410572
3280 7.409786
3290 7.412817
3300 7.403111
3310 7.412279
3320 7.403103
3330 7.407141
3340 7.408508
3350 7.406958
