"lift-coef-rfile"
"Iteration" "lift-coef"
("Iteration" "lift-coef")
10 0.8065261
20 1.042545
30 1.13636
40 1.163419
50 1.164944
60 1.200307
70 1.247048
80 1.297753
90 1.347089
100 1.394393
110 1.381345
120 1.210057
130 1.008386
140 1.026963
150 1.145587
160 1.004596
170 0.8522887
180 0.9210691
190 0.9871513
200 0.8032734
210 0.4775676
220 0.5874456
230 0.6332746
240 0.6640494
250 0.7351332
260 0.8295041
270 0.9125423
280 0.9925731
290 1.062963
300 1.126319
310 1.195943
320 1.270229
330 1.350191
340 1.423033
350 1.484903
360 1.527724
370 1.529823
380 1.485106
390 1.367555
400 1.256196
410 1.174454
420 0.9685985
430 0.7130957
440 0.6022424
450 0.3399802
460 0.2635402
470 0.3001676
480 0.3943743
490 0.5177637
500 0.6540014
510 0.8026869
520 0.9595856
530 1.100946
540 1.231807
550 1.336429
560 1.39476
570 1.357736
580 1.1727
590 0.8389295
600 0.5781522
610 0.6410559
620 0.5961552
630 0.3992088
640 0.4364865
650 0.4315094
660 0.409856
670 0.3241707
680 0.368818
690 0.4512805
700 0.5444525
710 0.6294692
720 0.6345705
730 0.6094412
740 0.7195864
750 0.8363329
760 0.9446732
770 1.054171
780 1.11469
790 1.067125
800 0.8971401
810 0.7713695
820 0.8285404
830 0.7979625
840 0.7014409
850 0.6449604
860 0.6380772
870 0.6173921
880 0.6178701
890 0.6659242
900 0.703021
910 0.7275137
920 0.759948
930 0.7738905
940 0.7737957
950 0.8039033
960 0.8314825
970 0.8422341
980 0.841037
990 0.8376942
1000 0.840412
1010 0.8464959
1020 0.8497165
1030 0.8516257
1040 0.8534715
1050 0.8545036
1060 0.8571361
1070 0.8630374
1080 0.8720035
1090 0.8825443
1100 0.8911555
1110 0.8974042
1120 0.9047769
1130 0.9132404
1140 0.9212883
1150 0.9276335
1160 0.9329451
1170 0.9380591
1180 0.9430904
1190 0.9481722
1200 0.953197
1210 0.958572
1220 0.964258
1230 0.9697326
1240 0.9754784
1250 0.9811308
1260 0.9870633
1270 0.9928617
1280 0.9985894
1290 1.004354
1300 1.010037
1310 1.015844
1320 1.021443
1330 1.027164
1340 1.03265
1350 1.038337
1360 1.043678
1370 1.04895
1380 1.054278
1390 1.059494
1400 1.064405
1410 1.069618
1420 1.074836
1430 1.080059
1440 1.085047
1450 1.090153
1460 1.095419
1470 1.100327
1480 1.105217
1490 1.110137
1500 1.115095
1510 1.119461
1520 1.124108
1530 1.128972
1540 1.133687
1550 1.138306
1560 1.142775
1570 1.147648
1580 1.152616
1590 1.157169
1600 1.162224
1610 1.16687
1620 1.171518
1630 1.176128
1640 1.180807
1650 1.185398
1660 1.189902
1670 1.194234
1680 1.198944
1690 1.20312
1700 1.207673
1710 1.211563
1720 1.215847
1730 1.220028
1740 1.224024
1750 1.228141
1760 1.232004
1770 1.235973
1780 1.239743
1790 1.243302
1800 1.246874
1810 1.250307
1820 1.253591
1830 1.256903
1840 1.260593
1850 1.26336
1860 1.2668
1870 1.269718
1880 1.272823
1890 1.275847
1900 1.278714
1910 1.281834
1920 1.284575
1930 1.287564
1940 1.290495
1950 1.293218
1960 1.29603
1970 1.298718
1980 1.301441
1990 1.304282
2000 1.306853
2010 1.309006
2020 1.311663
2030 1.313952
2040 1.31625
2050 1.31884
2060 1.321101
2070 1.323328
2080 1.325546
2090 1.327739
2100 1.329722
2110 1.331888
2120 1.33372
2130 1.335599
2140 1.337525
2150 1.339347
2160 1.341019
2170 1.342732
2180 1.344462
2190 1.345986
2200 1.347601
2210 1.349201
2220 1.350677
2230 1.352136
2240 1.353504
2250 1.354771
2260 1.356052
2270 1.357273
2280 1.358492
2290 1.35959
2300 1.360726
2310 1.361794
2320 1.362732
2330 1.363814
2340 1.364731
2350 1.365595
2360 1.36656
2370 1.367382
2380 1.368159
2390 1.368936
2400 1.369754
2410 1.37043
2420 1.371063
2430 1.371795
2440 1.372449
2450 1.373003
2460 1.373651
2470 1.37423
2480 1.374745
2490 1.375282
2500 1.375814
2510 1.376273
2520 1.376708
2530 1.377194
2540 1.377627
2550 1.377995
2560 1.378442
2570 1.378812
2580 1.379167
2590 1.379511
2600 1.379877
2610 1.380207
2620 1.380479
2630 1.380832
2640 1.381119
2650 1.381373
2660 1.381673
2670 1.381927
2680 1.382168
2690 1.38238
2700 1.382647
2710 1.382888
2720 1.383058
2730 1.3833
2740 1.383499
2750 1.383683
2760 1.383855
2770 1.384048
2780 1.384231
2790 1.384366
2800 1.384552
2810 1.384711
2820 1.384844
2830 1.384977
2840 1.385143
2850 1.385273
2860 1.385355
2870 1.385527
2880 1.385655
2890 1.385738
2900 1.385846
2910 1.385972
2920 1.38609
2930 1.386134
2940 1.38626
2950 1.386361
2960 1.38644
2970 1.386534
2980 1.386616
2990 1.386691
3000 1.386746
3010 1.386855
3020 1.386935
3030 1.386966
3040 1.387047
3050 1.387118
3060 1.38717
3070 1.387201
3080 1.387287
3090 1.387359
3100 1.387371
3110 1.38745
3120 1.387508
3130 1.387527
3140 1.387551
3150 1.387637
3160 1.387691
3170 1.387683
3180 1.387758
3190 1.387804
3200 1.38782
3210 1.387814
3220 1.387888
3230 1.387956
3240 1.38794
3250 1.387983
3260 1.388025
3270 1.388062
3280 1.388021
3290 1.388086
3300 1.38815
3310 1.388133
3320 1.38817
3330 1.388188
3340 1.388217
3350 1.388217
