"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
10 157.9281
20 204.1436
30 222.5137
40 227.8122
50 228.1109
60 235.0355
70 244.1879
80 254.1165
90 263.7771
100 273.04
110 270.4849
120 236.9446
130 197.4547
140 201.0925
150 224.3205
160 196.7126
170 166.889
180 180.3571
190 193.2968
200 157.2912
210 93.51381
220 115.0293
230 124.0032
240 130.0293
250 143.9484
260 162.4275
270 178.6874
280 194.3584
290 208.1417
300 220.5476
310 234.1809
320 248.7271
330 264.3846
340 278.648
350 290.7629
360 299.1479
370 299.5588
380 290.8027
390 267.7847
400 245.9792
410 229.973
420 189.6639
430 139.6332
440 117.9267
450 66.57245
460 51.60453
470 58.77664
480 77.22351
490 101.3847
500 128.0618
510 157.1763
520 187.8991
530 215.5792
540 241.2034
550 261.6899
560 273.1117
570 265.8621
580 229.6295
590 164.2731
600 113.2096
610 125.5269
620 116.7348
630 78.17017
640 85.46961
650 84.49503
660 80.25502
670 63.47675
680 72.21925
690 88.36646
700 106.6107
710 123.2581
720 124.257
730 119.3363
740 140.9042
750 163.7646
760 184.979
770 206.4202
780 218.2705
790 208.9566
800 175.6715
810 151.044
820 162.2388
830 156.2512
840 137.3511
850 126.2915
860 124.9436
870 120.8932
880 120.9868
890 130.3964
900 137.6605
910 142.4565
920 148.8075
930 151.5376
940 151.519
950 157.4145
960 162.8149
970 164.9202
980 164.6858
990 164.0312
1000 164.5634
1010 165.7547
1020 166.3853
1030 166.7592
1040 167.1206
1050 167.3227
1060 167.8382
1070 168.9937
1080 170.7494
1090 172.8134
1100 174.4996
1110 175.7232
1120 177.1668
1130 178.8241
1140 180.4
1150 181.6425
1160 182.6825
1170 183.6839
1180 184.6691
1190 185.6642
1200 186.6481
1210 187.7006
1220 188.814
1230 189.886
1240 191.0111
1250 192.1179
1260 193.2796
1270 194.415
1280 195.5365
1290 196.6653
1300 197.778
1310 198.9152
1320 200.0114
1330 201.1317
1340 202.2061
1350 203.3196
1360 204.3654
1370 205.3979
1380 206.4411
1390 207.4623
1400 208.424
1410 209.4447
1420 210.4665
1430 211.4893
1440 212.4659
1450 213.4659
1460 214.4971
1470 215.4579
1480 216.4156
1490 217.3789
1500 218.3498
1510 219.2047
1520 220.1147
1530 221.0672
1540 221.9903
1550 222.8947
1560 223.7699
1570 224.724
1580 225.6969
1590 226.5884
1600 227.5783
1610 228.4879
1620 229.3982
1630 230.3008
1640 231.2171
1650 232.1159
1660 232.998
1670 233.8463
1680 234.7684
1690 235.5861
1700 236.4777
1710 237.2395
1720 238.0784
1730 238.897
1740 239.6795
1750 240.4856
1760 241.242
1770 242.0192
1780 242.7574
1790 243.4543
1800 244.1538
1810 244.8261
1820 245.4691
1830 246.1177
1840 246.8402
1850 247.382
1860 248.0555
1870 248.6269
1880 249.235
1890 249.827
1900 250.3885
1910 250.9995
1920 251.5362
1930 252.1213
1940 252.6953
1950 253.2287
1960 253.7791
1970 254.3056
1980 254.8387
1990 255.395
2000 255.8984
2010 256.3201
2020 256.8404
2030 257.2885
2040 257.7385
2050 258.2456
2060 258.6883
2070 259.1244
2080 259.5588
2090 259.9881
2100 260.3765
2110 260.8006
2120 261.1594
2130 261.5273
2140 261.9045
2150 262.2611
2160 262.5886
2170 262.9241
2180 263.2628
2190 263.5612
2200 263.8773
2210 264.1907
2220 264.4797
2230 264.7654
2240 265.0333
2250 265.2813
2260 265.5323
2270 265.7714
2280 266.0101
2290 266.2251
2300 266.4474
2310 266.6566
2320 266.8403
2330 267.0521
2340 267.2317
2350 267.4008
2360 267.5899
2370 267.7508
2380 267.903
2390 268.0551
2400 268.2153
2410 268.3477
2420 268.4715
2430 268.6149
2440 268.743
2450 268.8515
2460 268.9784
2470 269.0917
2480 269.1925
2490 269.2977
2500 269.4019
2510 269.4917
2520 269.577
2530 269.6721
2540 269.7568
2550 269.8289
2560 269.9165
2570 269.9889
2580 270.0585
2590 270.1258
2600 270.1974
2610 270.2621
2620 270.3154
2630 270.3845
2640 270.4408
2650 270.4904
2660 270.5491
2670 270.599
2680 270.6461
2690 270.6877
2700 270.7398
2710 270.7871
2720 270.8203
2730 270.8677
2740 270.9066
2750 270.9427
2760 270.9763
2770 271.0142
2780 271.0501
2790 271.0765
2800 271.113
2810 271.144
2820 271.17
2830 271.1961
2840 271.2287
2850 271.254
2860 271.2701
2870 271.3038
2880 271.3289
2890 271.3452
2900 271.3662
2910 271.391
2920 271.4142
2930 271.4227
2940 271.4473
2950 271.4672
2960 271.4826
2970 271.501
2980 271.5171
2990 271.5318
3000 271.5426
3010 271.564
3020 271.5795
3030 271.5856
3040 271.6014
3050 271.6154
3060 271.6255
3070 271.6316
3080 271.6484
3090 271.6626
3100 271.665
3110 271.6803
3120 271.6917
3130 271.6954
3140 271.7001
3150 271.7169
3160 271.7276
3170 271.726
3180 271.7406
3190 271.7498
3200 271.7527
3210 271.7517
3220 271.7661
3230 271.7794
3240 271.7763
3250 271.7848
3260 271.793
3270 271.8002
3280 271.7922
3290 271.8049
3300 271.8175
3310 271.8141
3320 271.8214
3330 271.825
3340 271.8306
3350 271.8307
