"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.06378946
20 0.09236013
30 0.08524863
40 0.0786892
50 0.08194876
60 0.1002692
70 0.1188279
80 0.1365578
90 0.1551666
100 0.1792405
110 0.180952
120 0.1202535
130 0.06149109
140 0.09914939
150 0.1523463
160 0.1003313
170 0.05958621
180 0.1088794
190 0.1366224
200 0.06876478
210 -0.0436357
220 0.009121638
230 0.003216272
240 -0.0002849587
250 0.01253961
260 0.02677447
270 0.03773421
280 0.04974453
290 0.05969667
300 0.07296646
310 0.09050359
320 0.114458
330 0.1425457
340 0.1715508
350 0.1972182
360 0.2187126
370 0.2291391
380 0.2251099
390 0.1989757
400 0.1874017
410 0.1909768
420 0.1405627
430 0.08525563
440 0.08167686
450 -0.004619258
460 -0.02830189
470 -0.030213
480 -0.01089065
490 0.008366704
500 0.03190124
510 0.06232233
520 0.09958171
530 0.1364596
540 0.1784196
550 0.2200499
560 0.2533846
570 0.2593343
580 0.2157408
590 0.1251893
600 0.07236209
610 0.1234071
620 0.1144941
630 0.05670074
640 0.08114285
650 0.07894711
660 0.06866396
670 0.02901898
680 0.03274769
690 0.04305475
700 0.05747143
710 0.07228684
720 0.05430697
730 0.03074732
740 0.05921288
750 0.08730777
760 0.1157528
770 0.1514748
780 0.1748168
790 0.1590121
800 0.1033371
810 0.07623128
820 0.113563
830 0.1041169
840 0.07744594
850 0.06674916
860 0.06784268
870 0.05638501
880 0.05382463
890 0.06643791
900 0.07006533
910 0.07072514
920 0.07622098
930 0.07313143
940 0.06700826
950 0.07458904
960 0.08024587
970 0.08000411
980 0.07655336
990 0.07345469
1000 0.07291787
1010 0.07344349
1020 0.07264955
1030 0.07138161
1040 0.06987049
1050 0.06773949
1060 0.06602539
1070 0.0653502
1080 0.06556434
1090 0.06613269
1100 0.06574816
1110 0.0646155
1120 0.06410521
1130 0.06413401
1140 0.06396613
1150 0.06333828
1160 0.06248484
1170 0.06164771
1180 0.06088275
1190 0.0600953
1200 0.0592894
1210 0.05864703
1220 0.05801116
1230 0.05731527
1240 0.0566412
1250 0.05601132
1260 0.05544244
1270 0.05489135
1280 0.05431961
1290 0.05378763
1300 0.05327381
1310 0.05276917
1320 0.05227903
1330 0.0517438
1340 0.05125166
1350 0.05076138
1360 0.05021322
1370 0.04965258
1380 0.04912136
1390 0.04861256
1400 0.04810466
1410 0.0476012
1420 0.04711799
1430 0.04671014
1440 0.04631064
1450 0.04584517
1460 0.0454317
1470 0.04492386
1480 0.04442028
1490 0.04400605
1500 0.04344667
1510 0.04299309
1520 0.04254173
1530 0.04201212
1540 0.04160152
1550 0.04124228
1560 0.04087365
1570 0.04051152
1580 0.04020019
1590 0.03994287
1600 0.03961774
1610 0.03937323
1620 0.03908551
1630 0.03878564
1640 0.03854505
1650 0.03826474
1660 0.03799289
1670 0.03776705
1680 0.03750826
1690 0.03730589
1700 0.03704433
1710 0.03682599
1720 0.03662319
1730 0.03645464
1740 0.03628182
1750 0.03607551
1760 0.03590752
1770 0.03571679
1780 0.03554355
1790 0.0353593
1800 0.03514659
1810 0.03494704
1820 0.03475986
1830 0.03458335
1840 0.03439664
1850 0.03424642
1860 0.03408935
1870 0.03398108
1880 0.03385869
1890 0.03375585
1900 0.03367876
1910 0.03360936
1920 0.03355262
1930 0.0335082
1940 0.03346733
1950 0.03341824
1960 0.03337675
1970 0.03337566
1980 0.03336117
1990 0.03335248
2000 0.03337005
2010 0.033362
2020 0.03338489
2030 0.03342002
2040 0.033454
2050 0.03351315
2060 0.03358515
2070 0.03365543
2080 0.03371913
2090 0.03379383
2100 0.03384512
2110 0.03390258
2120 0.03395014
2130 0.0340205
2140 0.03407899
2150 0.03414774
2160 0.03422781
2170 0.03430451
2180 0.03437896
2190 0.03447111
2200 0.03455783
2210 0.03464469
2220 0.03473199
2230 0.03480656
2240 0.034875
2250 0.03495235
2260 0.03502117
2270 0.03508429
2280 0.03514836
2290 0.03522206
2300 0.0352804
2310 0.03533754
2320 0.03540973
2330 0.03545941
2340 0.03551533
2350 0.03557603
2360 0.03563023
2370 0.03567571
2380 0.03573246
2390 0.03578013
2400 0.0358167
2410 0.03586324
2420 0.03591419
2430 0.03594984
2440 0.03598296
2450 0.03603149
2460 0.03606148
2470 0.0360934
2480 0.03613381
2490 0.0361655
2500 0.03619121
2510 0.03622321
2520 0.03625602
2530 0.03627862
2540 0.0362987
2550 0.03633208
2560 0.03635207
2570 0.03637373
2580 0.03639773
2590 0.03642214
2600 0.03643821
2610 0.03645837
2620 0.0364837
2630 0.03649618
2640 0.0365158
2650 0.03653131
2660 0.0365454
2670 0.0365638
2680 0.03657775
2690 0.03660067
2700 0.03660927
2710 0.0366185
2720 0.03663715
2730 0.03664835
2740 0.0366599
2750 0.03667264
2760 0.03668561
2770 0.03669537
2780 0.03670265
2790 0.03671879
2800 0.03672663
2810 0.03673286
2820 0.03674655
2830 0.03675741
2840 0.03676002
2850 0.0367692
2860 0.03678411
2870 0.03678728
2880 0.03679165
2890 0.03679897
2900 0.03681055
2910 0.03681326
2920 0.03681772
2930 0.03683325
2940 0.03683379
2950 0.03683969
2960 0.03684366
2970 0.03684885
2980 0.03685387
2990 0.03686079
3000 0.03686892
3010 0.03686807
3020 0.03686976
3030 0.0368783
3040 0.03688392
3050 0.03688449
3060 0.0368899
3070 0.03690003
3080 0.03689731
3090 0.03689668
3100 0.03690544
3110 0.03690885
3120 0.03690698
3130 0.03691432
3140 0.03692292
3150 0.03691841
3160 0.03691716
3170 0.03692582
3180 0.03692672
3190 0.03692391
3200 0.03693081
3210 0.03694138
3220 0.03693671
3230 0.03693349
3240 0.03694117
3250 0.03694282
3260 0.03694233
3270 0.0369409
3280 0.03695409
3290 0.03695017
3300 0.03694544
3310 0.03695283
3320 0.03695258
3330 0.03695466
3340 0.03695458
3350 0.0369602
