"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
10 12.49079
20 18.08529
30 16.69277
40 15.40835
50 16.04661
60 19.63398
70 23.26802
80 26.73976
90 30.38359
100 35.09756
110 35.4327
120 23.54717
130 12.04074
140 19.41471
150 29.83134
160 19.64614
170 11.66774
180 21.31997
190 26.7524
200 13.46502
210 -8.544425
220 1.786133
230 0.629787
240 -0.05579853
250 2.455415
260 5.242782
270 7.38884
280 9.740612
290 11.68937
300 14.28776
310 17.72175
320 22.41233
330 27.91226
340 33.59183
350 38.61784
360 42.82671
370 44.86835
380 44.07939
390 38.96198
400 36.69564
410 37.39568
420 27.52397
430 16.69414
440 15.99337
450 -0.9045095
460 -5.54187
470 -5.91609
480 -2.132529
490 1.638307
500 6.246669
510 12.20351
520 19.49937
530 26.72052
540 34.93682
550 43.08858
560 49.61594
570 50.78095
580 42.24479
590 24.51367
600 14.16942
610 24.16468
620 22.41941
630 11.10273
640 15.8888
650 15.45885
660 13.44528
670 5.682285
680 6.412415
690 8.430668
700 11.25364
710 14.15468
720 10.634
730 6.020717
740 11.59464
750 17.09597
760 22.66587
770 29.6607
780 34.23137
790 31.13659
800 20.23472
810 14.92706
820 22.23708
830 20.38742
840 15.1649
850 13.07033
860 13.28446
870 11.0409
880 10.53955
890 13.00939
900 13.71968
910 13.84888
920 14.92504
930 14.32006
940 13.12107
950 14.60548
960 15.71316
970 15.66582
980 14.99012
990 14.38336
1000 14.27825
1010 14.38117
1020 14.22571
1030 13.97743
1040 13.68153
1050 13.26425
1060 12.92861
1070 12.7964
1080 12.83833
1090 12.94962
1100 12.87433
1110 12.65254
1120 12.55262
1130 12.55826
1140 12.52538
1150 12.40244
1160 12.23533
1170 12.07141
1180 11.92162
1190 11.76742
1200 11.60962
1210 11.48383
1220 11.35932
1230 11.22306
1240 11.09107
1250 10.96773
1260 10.85634
1270 10.74843
1280 10.63647
1290 10.5323
1300 10.43169
1310 10.33287
1320 10.2369
1330 10.13209
1340 10.03573
1350 9.939725
1360 9.832387
1370 9.722608
1380 9.618587
1390 9.518958
1400 9.419504
1410 9.320922
1420 9.226302
1430 9.146441
1440 9.068213
1450 8.977067
1460 8.896106
1470 8.796663
1480 8.698055
1490 8.616945
1500 8.507412
1510 8.418594
1520 8.330214
1530 8.226508
1540 8.146107
1550 8.075764
1560 8.003582
1570 7.932672
1580 7.871708
1590 7.821323
1600 7.757658
1610 7.70978
1620 7.65344
1630 7.594722
1640 7.547612
1650 7.492724
1660 7.439491
1670 7.395268
1680 7.344595
1690 7.304968
1700 7.253751
1710 7.210998
1720 7.171288
1730 7.138283
1740 7.104442
1750 7.064044
1760 7.03115
1770 6.993802
1780 6.95988
1790 6.9238
1800 6.882149
1810 6.843076
1820 6.806422
1830 6.77186
1840 6.7353
1850 6.705884
1860 6.675128
1870 6.653928
1880 6.629962
1890 6.609824
1900 6.594729
1910 6.58114
1920 6.57003
1930 6.561333
1940 6.553329
1950 6.543717
1960 6.535592
1970 6.535379
1980 6.532542
1990 6.53084
2000 6.53428
2010 6.532705
2020 6.537186
2030 6.544065
2040 6.550719
2050 6.562301
2060 6.5764
2070 6.590162
2080 6.602634
2090 6.617262
2100 6.627306
2110 6.638556
2120 6.64787
2130 6.661647
2140 6.6731
2150 6.686563
2160 6.702241
2170 6.717259
2180 6.731839
2190 6.749882
2200 6.766863
2210 6.78387
2220 6.800965
2230 6.815567
2240 6.828969
2250 6.844116
2260 6.857591
2270 6.869951
2280 6.882496
2290 6.896928
2300 6.90835
2310 6.91954
2320 6.933676
2330 6.943404
2340 6.954354
2350 6.96624
2360 6.976852
2370 6.985759
2380 6.996871
2390 7.006205
2400 7.013365
2410 7.022478
2420 7.032456
2430 7.039436
2440 7.045921
2450 7.055424
2460 7.061297
2470 7.067547
2480 7.075459
2490 7.081665
2500 7.0867
2510 7.092966
2520 7.09939
2530 7.103815
2540 7.107747
2550 7.114283
2560 7.118198
2570 7.12244
2580 7.127138
2590 7.131918
2600 7.135065
2610 7.139012
2620 7.143973
2630 7.146416
2640 7.150258
2650 7.153295
2660 7.156054
2670 7.159658
2680 7.162388
2690 7.166877
2700 7.16856
2710 7.170368
2720 7.174021
2730 7.176214
2740 7.178475
2750 7.180969
2760 7.183509
2770 7.18542
2780 7.186846
2790 7.190007
2800 7.191541
2810 7.192762
2820 7.195443
2830 7.197568
2840 7.198081
2850 7.199878
2860 7.202796
2870 7.203418
2880 7.204274
2890 7.205707
2900 7.207975
2910 7.208505
2920 7.209378
2930 7.212418
2940 7.212524
2950 7.21368
2960 7.214457
2970 7.215475
2980 7.216457
2990 7.217811
3000 7.219404
3010 7.219236
3020 7.219568
3030 7.22124
3040 7.222342
3050 7.222453
3060 7.223512
3070 7.225496
3080 7.224962
3090 7.224839
3100 7.226554
3110 7.227223
3120 7.226857
3130 7.228294
3140 7.229977
3150 7.229094
3160 7.22885
3170 7.230545
3180 7.230722
3190 7.230172
3200 7.231523
3210 7.233592
3220 7.232678
3230 7.232047
3240 7.233551
3250 7.233874
3260 7.233778
3270 7.233499
3280 7.236082
3290 7.235313
3300 7.234388
3310 7.235834
3320 7.235785
3330 7.236192
3340 7.236176
3350 7.237278
