"lift-coef-rfile"
"Iteration" "lift-coef"
("Iteration" "lift-coef")
10 -0.002685708
20 -0.02133708
30 -0.02578356
40 -0.01680813
50 -0.004203275
60 0.004728346
70 0.00583511
80 0.003037599
90 -0.0006180163
100 -0.00508878
110 -0.008684188
120 -0.01111806
130 -0.01289687
140 -0.01406387
150 -0.01487247
160 -0.0155551
170 -0.01624303
180 -0.01698175
190 -0.01781348
200 -0.01862929
210 -0.01942334
220 -0.02016605
230 -0.02084756
240 -0.02146812
250 -0.02203465
260 -0.02255812
270 -0.02301654
280 -0.02343708
